player_id,region,total_playtime_hours,days_active,spending_category,total_spent,battle_pass_purchases,skins_purchased,loot_boxes_purchased,days_since_last_purchase,daily_sessions,sessions_per_week,churn_status,d1_retention,d7_retention,d30_retention,arpu,arppu
133,NA,170,189,Dolphin,0,0,3,6,19,4,17,No,1,0,1,0.0,0.0
134,NA,139,170,Free,0,0,2,2,28,3,15,No,1,0,0,0.0,0.0
135,LATAM,83,279,Free,0,0,4,1,31,1,14,Yes,1,1,1,0.0,0.0
136,NA,199,201,Free,50,0,2,3,19,2,5,No,1,0,0,0.24875621890547264,0.24875621890547264
137,EU,22,125,Small Spender,0,1,1,4,7,5,32,No,1,1,0,0.0,0.0
138,APAC,29,292,Free,0,0,4,1,23,3,28,No,1,1,1,0.0,0.0
139,EU,95,311,Whale,5,0,2,3,6,3,26,No,1,0,0,0.01607717041800643,0.01607717041800643
140,LATAM,212,16,Free,0,0,4,3,25,2,20,Yes,1,1,0,0.0,0.0
141,LATAM,89,345,Free,0,0,1,6,17,3,6,Yes,0,1,1,0.0,0.0
142,NA,90,274,Free,0,0,0,1,37,2,40,No,1,1,0,0.0,0.0
143,EU,27,294,Small Spender,50,1,2,1,46,2,40,No,0,1,0,0.17006802721088435,0.17006802721088435
144,NA,147,20,Free,200,0,2,2,56,2,22,No,1,0,1,10.0,10.0
145,NA,147,19,Small Spender,0,0,2,1,40,3,1,Yes,1,1,0,0.0,0.0
146,NA,139,13,Free,0,0,2,1,54,0,9,No,0,0,1,0.0,0.0
147,EU,68,17,Free,0,0,0,5,11,4,13,Yes,1,1,0,0.0,0.0
148,EU,64,206,Dolphin,5,0,1,5,49,5,13,No,1,0,1,0.024271844660194174,0.024271844660194174
149,NA,35,30,Small Spender,0,1,2,6,23,3,44,No,0,0,0,0.0,0.0
150,NA,104,299,Free,0,0,1,3,7,3,19,No,0,1,1,0.0,0.0
151,LATAM,45,304,Small Spender,10,0,3,2,8,2,16,No,1,0,0,0.03289473684210526,0.03289473684210526
152,NA,41,43,Small Spender,0,0,2,0,8,2,6,Yes,0,1,0,0.0,0.0
153,NA,78,93,Free,0,0,2,2,18,3,32,No,1,1,0,0.0,0.0
154,EU,75,66,Free,200,0,1,3,53,3,14,Yes,0,1,0,3.0303030303030303,3.0303030303030303
155,LATAM,73,119,Free,200,0,3,3,50,3,12,No,1,0,0,1.680672268907563,1.680672268907563
156,NA,123,309,Free,0,0,1,3,15,3,22,Yes,1,1,0,0.0,0.0
157,APAC,103,72,Small Spender,0,0,0,2,33,3,23,Yes,1,0,0,0.0,0.0
158,APAC,85,334,Free,0,0,7,4,0,4,21,No,1,0,0,0.0,0.0
159,NA,109,162,Free,0,0,2,0,46,3,16,No,1,0,1,0.0,0.0
160,APAC,50,330,Free,100,0,2,1,59,3,10,No,1,0,0,0.30303030303030304,0.30303030303030304
161,EU,105,328,Whale,10,0,0,3,46,4,28,Yes,0,0,1,0.03048780487804878,0.03048780487804878
162,EU,107,269,Small Spender,10,0,3,2,19,0,10,No,1,0,0,0.03717472118959108,0.03717472118959108
163,EU,24,218,Free,0,0,4,4,49,4,30,Yes,1,1,0,0.0,0.0
164,EU,149,254,Free,0,0,0,3,27,2,11,No,1,0,1,0.0,0.0
165,NA,55,59,Free,0,1,1,1,27,1,6,Yes,1,1,0,0.0,0.0
166,APAC,104,32,Small Spender,0,1,1,7,20,2,18,Yes,1,0,1,0.0,0.0
167,NA,158,339,Free,0,0,0,5,37,2,24,No,0,0,0,0.0,0.0
168,NA,146,120,Whale,0,0,4,4,10,5,34,No,1,0,0,0.0,0.0
169,NA,101,310,Free,0,0,1,1,23,3,1,No,1,1,0,0.0,0.0
170,EU,81,2,Free,0,0,1,1,11,4,11,No,1,1,0,0.0,0.0
171,APAC,147,118,Small Spender,0,0,1,1,25,0,16,No,0,0,0,0.0,0.0
172,NA,133,37,Small Spender,0,0,3,2,37,2,30,No,1,0,1,0.0,0.0
173,EU,69,97,Free,0,0,3,3,59,4,48,No,1,1,1,0.0,0.0
174,NA,60,359,Small Spender,0,0,1,3,8,5,18,No,1,1,0,0.0,0.0
175,EU,0,257,Free,0,0,2,1,45,4,14,Yes,1,0,1,0.0,0.0
176,NA,107,128,Free,100,1,3,8,3,3,11,No,1,1,1,0.78125,0.78125
177,APAC,95,359,Dolphin,0,0,3,1,3,3,4,No,1,0,0,0.0,0.0
178,EU,156,156,Dolphin,10,0,2,1,47,3,20,No,1,0,0,0.0641025641025641,0.0641025641025641
179,LATAM,117,145,Small Spender,100,0,3,4,14,2,22,No,1,1,1,0.6896551724137931,0.6896551724137931
180,NA,166,57,Free,0,0,2,2,45,2,34,No,0,0,0,0.0,0.0
181,NA,65,70,Small Spender,0,0,0,2,35,2,7,Yes,0,0,1,0.0,0.0
182,NA,156,44,Free,0,0,0,3,9,5,7,No,1,0,0,0.0,0.0
183,LATAM,73,212,Free,0,1,1,3,27,1,12,No,1,0,1,0.0,0.0
184,LATAM,138,175,Small Spender,0,0,3,2,38,4,55,No,1,1,0,0.0,0.0
185,NA,27,141,Free,50,0,2,4,9,2,9,Yes,1,1,1,0.3546099290780142,0.3546099290780142
186,APAC,111,76,Whale,0,0,2,4,41,2,9,No,1,1,0,0.0,0.0
187,APAC,0,158,Free,200,0,1,5,15,3,9,No,1,1,0,1.2658227848101267,1.2658227848101267
188,EU,86,85,Free,10,0,4,7,13,1,3,No,1,1,0,0.11764705882352941,0.11764705882352941
189,EU,122,322,Small Spender,0,0,2,5,51,5,6,No,1,0,0,0.0,0.0
190,NA,73,309,Small Spender,0,0,3,2,46,2,17,No,1,1,0,0.0,0.0
191,NA,47,18,Free,0,1,1,5,3,5,27,No,1,0,1,0.0,0.0
192,LATAM,142,284,Free,0,0,1,6,35,1,23,Yes,1,1,0,0.0,0.0
193,LATAM,94,42,Small Spender,0,0,4,4,38,1,37,No,0,0,1,0.0,0.0
194,EU,75,134,Free,50,0,1,3,59,0,19,No,1,1,0,0.373134328358209,0.373134328358209
195,NA,102,102,Free,0,0,2,6,41,1,2,No,0,1,0,0.0,0.0
196,NA,231,137,Small Spender,0,0,0,1,41,2,10,No,1,0,0,0.0,0.0
197,APAC,157,222,Free,50,0,2,5,54,4,33,No,1,1,0,0.22522522522522523,0.22522522522522523
198,LATAM,158,229,Whale,0,1,4,4,7,0,12,No,1,1,0,0.0,0.0
199,LATAM,121,294,Small Spender,0,0,2,3,22,3,12,No,1,1,0,0.0,0.0
200,APAC,108,306,Whale,0,1,3,5,37,1,17,Yes,1,0,1,0.0,0.0
201,EU,0,316,Free,0,0,3,3,59,2,23,Yes,0,0,0,0.0,0.0
202,NA,66,119,Whale,50,0,1,3,49,1,21,Yes,1,0,0,0.42016806722689076,0.42016806722689076
203,NA,75,99,Free,100,0,1,3,40,3,32,No,1,0,0,1.0101010101010102,1.0101010101010102
204,LATAM,6,350,Free,0,0,2,1,15,1,26,No,1,1,0,0.0,0.0
205,EU,42,324,Free,0,0,4,5,26,5,35,No,0,0,0,0.0,0.0
206,NA,0,159,Free,0,0,1,3,44,2,35,Yes,1,1,0,0.0,0.0
207,NA,98,239,Free,10,0,0,5,23,4,11,No,1,0,0,0.04184100418410042,0.04184100418410042
208,APAC,140,320,Free,5,0,1,2,21,0,29,No,0,1,1,0.015625,0.015625
209,NA,155,335,Free,0,1,3,2,26,3,40,Yes,1,1,0,0.0,0.0
210,NA,120,189,Free,0,0,1,3,23,4,27,No,0,0,0,0.0,0.0
211,EU,51,309,Small Spender,100,0,1,5,10,1,8,No,1,1,0,0.32362459546925565,0.32362459546925565
212,APAC,3,249,Free,0,0,1,2,15,2,21,Yes,1,0,0,0.0,0.0
213,APAC,12,26,Small Spender,5,0,3,2,47,1,19,No,1,1,1,0.19230769230769232,0.19230769230769232
214,NA,36,189,Free,50,0,2,5,52,2,14,No,1,0,0,0.26455026455026454,0.26455026455026454
215,APAC,55,140,Dolphin,0,1,1,1,27,5,21,Yes,1,1,0,0.0,0.0
216,NA,92,181,Free,5,0,2,5,10,5,41,No,1,0,0,0.027624309392265192,0.027624309392265192
217,NA,49,21,Whale,0,0,0,4,51,4,38,No,1,1,0,0.0,0.0
218,APAC,116,163,Free,200,0,1,4,19,4,14,No,1,0,0,1.2269938650306749,1.2269938650306749
219,EU,88,71,Whale,0,1,1,2,32,3,15,No,0,1,0,0.0,0.0
220,APAC,100,82,Free,0,0,0,2,6,3,10,Yes,0,1,1,0.0,0.0
221,APAC,157,155,Small Spender,0,1,3,7,9,3,23,No,1,0,0,0.0,0.0
222,EU,40,316,Small Spender,10,0,2,2,38,2,22,No,1,0,1,0.03164556962025317,0.03164556962025317
223,NA,120,355,Free,0,0,3,2,44,2,18,No,0,1,0,0.0,0.0
224,EU,99,47,Free,0,0,2,1,20,4,25,No,1,0,0,0.0,0.0
225,NA,83,194,Small Spender,0,0,5,3,47,3,17,No,0,0,0,0.0,0.0
226,NA,144,224,Free,0,0,2,1,41,6,27,No,1,1,0,0.0,0.0
227,LATAM,143,237,Free,10,0,3,1,52,3,31,No,0,0,0,0.04219409282700422,0.04219409282700422
228,EU,52,280,Small Spender,0,1,2,3,2,3,11,Yes,0,0,0,0.0,0.0
229,LATAM,90,10,Free,10,0,3,4,4,2,10,No,1,1,0,1.0,1.0
230,EU,114,152,Small Spender,50,1,0,5,37,2,40,No,1,0,1,0.32894736842105265,0.32894736842105265
231,APAC,86,344,Free,100,0,2,3,0,1,1,Yes,0,0,0,0.29069767441860467,0.29069767441860467
232,EU,129,104,Free,5,1,1,1,35,0,8,No,0,1,0,0.04807692307692308,0.04807692307692308
233,EU,114,124,Free,0,1,3,5,11,2,17,No,1,0,0,0.0,0.0
234,EU,191,185,Small Spender,0,0,2,2,30,2,1,Yes,1,1,1,0.0,0.0
235,NA,23,290,Whale,200,1,5,2,40,2,10,Yes,1,1,0,0.6896551724137931,0.6896551724137931
236,APAC,93,41,Free,50,1,4,3,25,2,13,No,1,0,0,1.2195121951219512,1.2195121951219512
237,NA,54,11,Free,0,0,6,4,33,4,29,No,0,0,0,0.0,0.0
238,NA,130,218,Free,100,1,4,2,44,1,24,Yes,1,0,0,0.45871559633027525,0.45871559633027525
239,EU,19,1,Small Spender,50,0,2,1,38,4,13,Yes,1,1,0,50.0,50.0
240,NA,117,171,Free,100,0,1,3,44,2,16,No,0,0,1,0.5847953216374269,0.5847953216374269
241,LATAM,68,338,Free,5,0,4,2,15,3,12,No,1,1,0,0.014792899408284023,0.014792899408284023
242,LATAM,63,282,Free,50,0,2,4,23,0,13,Yes,1,0,1,0.1773049645390071,0.1773049645390071
243,LATAM,27,53,Free,50,0,1,9,42,2,15,No,0,1,0,0.9433962264150944,0.9433962264150944
244,EU,76,125,Free,0,1,1,3,35,5,16,No,1,0,0,0.0,0.0
245,NA,154,175,Free,200,1,3,2,54,3,29,Yes,1,1,0,1.1428571428571428,1.1428571428571428
246,LATAM,98,265,Small Spender,0,1,2,4,4,1,24,No,1,1,0,0.0,0.0
247,EU,131,265,Dolphin,0,0,2,4,0,5,27,No,1,1,0,0.0,0.0
248,LATAM,183,199,Small Spender,10,1,1,0,41,5,38,No,1,1,0,0.05025125628140704,0.05025125628140704
249,LATAM,113,256,Free,5,0,5,1,20,1,19,Yes,1,1,0,0.01953125,0.01953125
250,LATAM,72,172,Free,50,1,2,1,9,1,8,No,1,0,0,0.29069767441860467,0.29069767441860467
251,NA,123,59,Free,0,0,1,3,7,2,8,No,0,1,1,0.0,0.0
252,EU,72,106,Small Spender,0,1,3,2,19,2,16,No,1,0,1,0.0,0.0
253,LATAM,74,125,Free,0,0,1,1,34,0,18,No,1,0,0,0.0,0.0
254,NA,24,16,Dolphin,0,1,1,3,55,2,5,Yes,0,1,0,0.0,0.0
255,NA,146,38,Free,10,1,1,2,29,1,13,No,1,1,0,0.2631578947368421,0.2631578947368421
256,EU,80,243,Small Spender,0,1,4,9,49,4,23,Yes,0,0,0,0.0,0.0
257,LATAM,109,210,Small Spender,0,0,0,7,17,5,24,No,1,0,0,0.0,0.0
258,APAC,48,315,Free,0,1,4,1,44,3,1,No,0,1,0,0.0,0.0
259,EU,121,285,Small Spender,10,1,3,4,44,1,3,No,1,1,1,0.03508771929824561,0.03508771929824561
260,NA,61,168,Dolphin,0,0,2,1,46,1,24,No,1,1,0,0.0,0.0
261,EU,92,264,Dolphin,10,0,2,1,27,6,6,No,1,0,0,0.03787878787878788,0.03787878787878788
262,LATAM,143,98,Small Spender,0,0,1,2,26,5,30,No,1,0,0,0.0,0.0
263,NA,139,134,Free,0,1,2,3,29,0,24,Yes,1,0,1,0.0,0.0
264,EU,98,181,Dolphin,50,0,2,2,53,1,20,Yes,1,0,0,0.27624309392265195,0.27624309392265195
265,LATAM,11,222,Small Spender,0,1,2,0,36,3,18,No,1,1,0,0.0,0.0
266,APAC,249,364,Free,0,0,3,2,34,1,10,No,1,0,0,0.0,0.0
267,APAC,187,149,Free,10,0,2,1,18,4,28,No,1,0,0,0.06711409395973154,0.06711409395973154
268,APAC,136,244,Free,5,1,3,4,52,1,46,Yes,1,1,0,0.020491803278688523,0.020491803278688523
269,EU,62,313,Free,10,0,1,3,41,3,23,No,1,0,0,0.03194888178913738,0.03194888178913738
270,NA,94,76,Small Spender,10,0,3,2,40,3,19,Yes,1,0,0,0.13157894736842105,0.13157894736842105
271,APAC,72,262,Free,0,1,2,4,54,3,33,No,1,0,0,0.0,0.0
272,APAC,163,231,Free,0,0,1,2,37,3,21,No,1,0,0,0.0,0.0
273,LATAM,113,191,Free,0,0,2,4,3,1,15,No,1,0,0,0.0,0.0
274,LATAM,60,134,Free,100,0,1,4,2,2,35,No,1,0,0,0.746268656716418,0.746268656716418
275,EU,76,309,Free,200,1,2,1,9,2,13,No,1,1,0,0.6472491909385113,0.6472491909385113
276,EU,156,252,Free,0,0,2,5,54,1,24,No,1,0,1,0.0,0.0
277,APAC,180,245,Free,0,0,4,3,10,1,22,No,1,0,0,0.0,0.0
278,EU,176,265,Small Spender,0,0,4,3,44,3,25,Yes,1,0,0,0.0,0.0
279,APAC,137,325,Free,5,0,0,2,27,3,16,Yes,0,0,0,0.015384615384615385,0.015384615384615385
280,APAC,87,330,Free,0,0,1,4,39,1,33,No,1,1,0,0.0,0.0
281,LATAM,0,343,Free,10,0,1,4,3,4,17,No,1,1,0,0.029154518950437316,0.029154518950437316
282,NA,114,4,Free,100,0,2,1,49,4,10,No,0,1,0,25.0,25.0
283,EU,99,37,Free,200,1,0,1,38,2,30,Yes,0,0,0,5.405405405405405,5.405405405405405
284,NA,106,71,Free,0,0,3,4,2,3,24,Yes,1,1,0,0.0,0.0
285,EU,102,262,Free,200,0,3,3,33,4,14,No,1,0,0,0.7633587786259542,0.7633587786259542
286,NA,33,237,Free,10,0,2,3,46,1,6,Yes,0,1,1,0.04219409282700422,0.04219409282700422
287,EU,127,307,Free,0,0,2,3,20,1,1,No,1,1,1,0.0,0.0
288,EU,131,355,Small Spender,0,0,4,3,24,5,26,Yes,1,0,0,0.0,0.0
